Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
HABT11,21K0522795,CF,recebiveis/ credito/ direito creditorio,AF,spe,A,FR,FR,FR,,,,
HABT11,21A0850275,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0850418,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0775592,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0850462,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,,,,,
HABT11,21A0850592,CF,recebiveis/ credito/ direito creditorio,AF,F,FR,,,,,,,
HABT11,21A0607856,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,18A0893102,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,18A0893173,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,18H0134529,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,18H0135364,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,18H0134527,CF,recebiveis/ credito/ direito creditorio,AF,spe,A,FR,FR,FR,,,,
