Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
KNCR11,19E0322333,AF,CF,FR,,,,,,,,,
KNCR11,22G0282370,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,22G0282332,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,22G0282297,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,19B0176400,AF,CF,FR,,,,,,,,,
KNCR11,22G0282284,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,23H1250138,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,17I0141643,AF,CF,,,,,,,,,,
KNCR11,17I0141606,AF,CF,,,,,,,,,,
KNCR11,19L0882476,AF,CF,FR,,,,,,,,,
KNCR11,22G0282145,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,20A0797060,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,20J0812325,AF,CF,FR,,,,,,,,,
KNCR11,23J2266232,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,,
KNCR11,22F1035289,AF,CF,,,,,,,,,,
KNCR11,22F1195743,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,22F1195716,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,19F0923004,AF,CF,,,,,,,,,,
KNCR11,22F0658610,AF,CF,FR,,,,,,,,,
KNCR11,22F1195714,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,22A0118041,AF,CF,FR,,,,,,,,,
KNCR11,23I1740395,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,24C1475910,AF,CF,FR,,,,,,,,,
KNCR11,19A1316808,AF,CF,FR,,,,,,,,,
KNCR11,24E1127893,AF,CF,FR,,,,,,,,,
KNCR11,24F1645739,AF,CF,,,,,,,,,,
KNCR11,24C1475908,AF,CF,FR,,,,,,,,,
KNCR11,24D3680471,CF,FR,,,,,,,,,,
KNCR11,17F0035000,AF,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,,,
KNCR11,16C0208472,AF,CF,,,,,,,,,,
KNCR11,24D0007013,FR,,,,,,,,,,,
KNCR11,23F2335074,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,,
KNCR11,24C1886299,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,15L0736524,AF,CF,,,,,,,,,,
KNCR11,24E1127608,AF,CF,FR,,,,,,,,,
KNCR11,23E2052240,AF,CF,FR,,,,,,,,,
KNCR11,19H0000001,AF,CF,FR,,,,,,,,,
KNCR11,21L0729901,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,,
KNCR11,16E0707976,AF,CF,,,,,,,,,,
KNCR11,21L0848239,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,,
KNCR11,16L0194496,AF,CF,,,,,,,,,,
KNCR11,22I1289815,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,24A2983450,CF,,,,,,,,,,,
KNCR11,21K1026250,AF,CF,FR,,,,,,,,,
KNCR11,17J0104526,AF,CF,,,,,,,,,,
KNCR11,23C1842756,FR,,,,,,,,,,,
KNCR11,18C0803997,AF,CF,,,,,,,,,,
KNCR11,23C1843793,FR,,,,,,,,,,,
KNCR11,20A0934859,AF,CF,aval,,,,,,,,,
KNCR11,19B0166684,AF,CF,,,,,,,,,,
KNCR11,20B0820360,AF,CF,FR,,,,,,,,,
KNCR11,23I1554258,FR,,,,,,,,,,,
KNCR11,22I1289809,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,15L0676664,AF,aval,,,,,,,,,,
KNCR11,24C1693601,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,22I1289814,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,20B0817042,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,,,,,,,
KNCR11,22I1289810,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,21C0749579,AF,CF,FR,,,,,,,,,
KNCR11,22I1289811,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,22I1289813,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,21L0668560,AF,CF,aval,,,,,,,,,
KNCR11,20J0894745,AF,CF,FR,,,,,,,,,
KNCR11,22I1289808,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,22I1289816,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,aval,,,,,,,
KNCR11,20I0719702,AF,CF,FR,aval,,,,,,,,
KNCR11,14K0209085,AF,CF,,,,,,,,,,
KNCR11,19L0882449,AF,CF,,,,,,,,,,
RBRR11,CRI Leroy II,AF,imovel,CF,,,,,,,,,
RBRR11,CRI JK Financial Center,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI Brookfield JK IPCA,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI Tellus Brigadeiro,CF,alugueis,,,,,,,,,,
RBRR11,CRI GT - Banco do Brasil,AF,imovel,CF,,,,,,,,,
RBRR11,CRI JFL Jardim Faria Lima,CF,fianca,FR,,,,,,,,,
RBRR11,CRI Cabreúva,AF,imovel,,,,,,,,,,
RBRR11,CRI CD Guarulhos,AF,imovel,,,,,,,,,,
RBRR11,CRI Faria Lima Business Center,AF,imovel,CF,,,,,,,,,
RBRR11,CRI Leo Madeiras,AF,imovel,,,,,,,,,,
RBRR11,CRI Pátio Malzoni,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI Share Pinheiros,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI BTLG,AF,imovel,CF,,,,,,,,,
RBRR11,CRI GE Barueri,AF,imovel,CF,,,,,,,,,
RBRR11,CRI Union Faria Lima I,AF,imovel,,,,,,,,,,
RBRR11,CRI HLOG,AF,imovel,,,,,,,,,,
RBRR11,CRI Brookfield JK CDI,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI HDEL,AF,imovel,,,,,,,,,,
RBRR11,CRI Barueri Logístico,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI Patrifarm,AF,imovel,CF,,,,,,,,,
RBRR11,CRI Creditas II Sênior I,AF,imovel,,,,,,,,,,
RBRR11,CRI Yuca Pinheiros,AF,terreno,spe,CF,aval,FR,,,,,,
RBRR11,CRI Airport Town,AF,imovel,CF,,,,,,,,,
RBRR11,CRI BTLG II,AF,imovel,CF,,,,,,,,,
RBRR11,CRI Viverde Sênior,AF,seguro,,,,,,,,,,
RBRR11,CRI Bem Brasil,fianca,,,,,,,,,,,
RBRR11,CRI BTG Malls,AF,,,,,,,,,,,
RBRR11,CRI JFL,AF,CF,FR,,,,,,,,,
RBRR11,CRI Log IV,,,,,,,,,,,,
RBRR11,CRI MRV III,,,,,,,,,,,,
RBRR11,CRI JSL I,AF,imovel,CF,,,,,,,,,
RBRR11,CRI JSL II,AF,imovel,CF,,,,,,,,,
RBRR11,CRI HBR,AF,imovel,CF,,,,,,,,,
RBRR11,CRI Rede D'or 2,,,,,,,,,,,,
RBRR11,CRI MRV,AF,imovel,,,,,,,,,,
RBRR11,CRI Tecnisa,,,,,,,,,,,,
RBRR11,CRI Le Biscuit,AF,imovel,CF,FR,,,,,,,,
RBRR11,CRI Lindenberg,AF,CF,fianca,FR,,,,,,,,
RBRR11,CRI Creditas,AF,imovel,,,,,,,,,,
RBRR11,CRI BRF,AF,imovel,,,,,,,,,,
CPTR11,CRA021004NU,cessao fiduciaria,,,,,,,,,,,
CPTR11,CRA022009KI,clean,,,,,,,,,,,
CPTR11,CRA0220060P,AF,terras,,,,,,,,,,
CPTR11,CRA02200795,subordinacao,,,,,,,,,,,
